diary_date,weather,content
2026-07-17,sunny,오늘은 하루종일 습하고 비가 와서 집 쇼파에 누워만 있었다. 장마는 도대체 언제쯤 끝나는 걸까? 창문을 열고 누워서 빗소리를 들으면서 낮잠을 자니 하루가 금방 지나갔다. 오늘은 산책을 안했는데 내일 날씨가 조금 나아지면 바람은 조금 쐬고 와야지.
2026-07-18,sunny,하늘에 구멍이 뚫렸나? 어제보다 비가 더 많이 오는 기분이다. 비가 오니 새 소리도 안들리고 빗소리 밖에 들리지 않는다. 조금은 무서웠지만 집에만 있는게 조금은 갑갑해서 짧게 산책하고 왔다. 쫄딱 젖었지만 씻고 시원한 물을 마시니까 개운해졌다. 
2026-07-19,sunny,산책 중에 완전 맛있는 수박 주스를 먹었다. 새로운 길을 지나가다가 수박주스를 파는 곳이 있어서 도전해봤는데 한동안 날씨로 고생하던 갈증을 시원하고 달달하게 끝내주었다. 나중에 추천해줄 곳이 생겨서 기쁘다.
2026-07-20,sunny,드디어 오랜만에 해가 쨍하고 떴다. 며칠 내내 비만 오다가 파란 하늘을 보니 괜히 마음이 들뜬다. 젖었던 풀들도 햇빛에 반짝반짝 마르고 있었다. 오늘은 어제 발견한 수박주스 가게에 또 들렀는데 사장님이 얼굴을 기억해주셔서 조금 뿌듯했다. 이렇게 맑은 날이 며칠만 더 이어졌으면 좋겠다.
2026-07-21,sunny,낮에는 밖이 조금 더워 보여서 집에만 있다가 해가 지고 밤이 되어서야 산책을 나갔다. 바람이 조금 불고 조용해서 내 발소리만 들리는 게 걷기 좋았다. 묘하게 기분이 좋아져서 생각보다 한참을 더 걷다가 집에 돌아왔다. 앞으로도 종종 밤에 산책을 나와봐야겠다.
2026-07-22,sunny,"저번에 했던 산책이 너무 좋아서 오늘도 나가보려고 했는데 아침부터 비가 내렸다. 장마철이 시작된 건지 비가 자주 오는 것 같다. 어쩔 수 없이 오늘은 집에서 늘어져 창문 너머로 떨어지는 빗방울만 한참 바라봤다. 우산 꼭 챙기고 다니라고 말해줘야겠다."
2026-07-23,sunny,"소파에서 멍하니 쉬고 있었는데 요즘 좋아하는 노래인 Tokyo Nights가 흘러나왔다. 일본의 밤도 정말 이런 분위기일까 상상하며 한참 듣고 있었더니 여행을 떠나고 싶었다. 특별한 일은 없었지만 좋은 음악 덕분에 하루가 조금 더 따뜻하게 지나간 것 같다."
2026-07-24,sunny,"오늘은 저녁 무렵 하늘이 유난히 예쁜 주황빛으로 물들어 있어서 한동안 발걸음을 멈추고 가만히 올려다봤다. 매일 같은 하늘인데도 날마다 다른 모습을 보여주는 게 신기했고, 앞으로는 바쁘더라도 하루에 한 번쯤은 하늘을 올려다보는 여유를 가져야겠다."
2026-07-25,sunny,"산책하다가 골목 담벼락 위에 앉아 있는 고양이랑 눈이 마주쳤다. 도망갈 줄 알았는데 한참을 가만히 나를 내려다보기만 했다. 괜히 아는 척하고 싶어서 그 앞에 조금 서 있었는데, 결국 하품 한 번 하고는 느긋하게 자리를 옮겼다. 별말도 못 나눴지만 왠지 오늘 산책은 조금 특별하게 느껴졌다."
2026-07-26,sunny,"집이 조금 허전한 것 같아서 오는 길에 작은 화분을 하나 들였다. 창가에 올려두니 텅 비어 보이던 자리가 금세 아늑해졌다. 물은 얼마나 줘야 하는 건지 몰라서 한참 들여다보다가 조금만 줬다. 잘 키울 수 있을지 모르겠지만, 아침마다 안부를 물어볼 상대가 하나 생긴 것 같아 기분이 좋다."
2026-07-27,sunny,"오늘은 산책 코스를 조금 바꿔봤더니 골목 안쪽에 작은 빵집이 있었다. 갓 구운 냄새에 이끌려 들어갔다가 따뜻한 빵을 하나 사 왔다. 집에 돌아와 창밖을 보며 천천히 먹으니 별거 아닌데도 마음이 든든해졌다. 다음엔 다른 빵도 도전해봐야지."
2026-07-28,sunny,
2026-07-29,sunny,
2026-07-30,sunny,
2026-07-31,sunny,
2026-08-01,sunny,
2026-08-02,sunny,
2026-08-03,sunny,
2026-08-04,sunny,
2026-08-05,sunny,
2026-08-06,sunny,
2026-08-07,sunny,
2026-08-08,sunny,
2026-08-09,sunny,
2026-08-10,sunny,
2026-08-11,sunny,
2026-08-12,sunny,
2026-08-13,sunny,
2026-08-14,sunny,
2026-08-15,sunny,
